Id	Sire	Dam	Sex	Birth	Death	Departure
10210			Male	1979-03-16	1979-03-16	
10211	6927	2368	Female	1979-03-18	1979-03-18	
10213	1821	9300	Male	1979-03-19	1979-03-19	
10215			Male	1979-03-20	1979-03-20	
10216			Female	1979-03-20	1979-03-20	
10217	1821	1146	Female	1979-03-22	1979-03-22	
10218	1082	9305	Male	1979-03-23	1979-03-23	
10220	1182	9311	Male	1979-03-23	1979-03-23	
10224		9098	Male	1979-03-24	1979-03-24	
10225			Female	1979-03-23	1979-03-24	
10226	6927	6749	Male	1979-03-27	1979-03-27	
10234			Female	1979-03-30	1979-03-30	
10235			Female	1979-03-30	1979-03-30	
10236			Female	1979-03-30	1979-03-30	
10237			Male	1979-03-30	1979-03-30	
10240			Male	1979-03-22	1979-03-22	
10242			Female	1979-03-19	1979-04-03	
10243			Unknown	1979-04-03	1979-04-03	
10250	7084	8393	Female	1979-04-07	1993-04-16	
10256	9387	6949	Male	1979-04-12	1979-04-12	
10257	596	6745	Male	1979-04-12	1979-04-12	
10260			Male	1979-03-29	1979-03-29	
10262	1175	9349	Male	1979-04-14	1984-12-05	
10265	7838	7687	Female	1979-04-15	1979-04-15	
10266	5302	7170	Male	1979-04-18	1979-04-18	
10267	7084	8352	Unknown	1979-02-23	1979-02-23	
10268	498	8516	Unknown	1979-02-23	1979-02-23	
10271			Male	1979-04-18	1979-04-18	
10272	1401	9032	Male	1979-04-18	1980-09-23	
10273		7735	Female	1979-04-18	1979-05-18	
10277			Unknown	1979-04-13	1979-04-13	
10278			Unknown	1979-04-13	1979-04-13	
10281	7084	9059	Male	1979-04-21		1984-05-31 00:00
10288			Male	1979-04-22	1979-04-23	
10289			Female	1979-04-03	1979-04-24	
10291	596	9143	Female	1979-04-26	1979-04-26	
10292			Female	1979-04-04	1979-04-23	
10296			Unknown	1979-04-20	1979-04-20	
10297	7084	8980	Male	1979-04-29	1979-04-29	
10299			Female	1979-04-28	1979-04-28	
103			Female		1971-03-24	
10300	596	8949	Female	1979-04-30	1979-04-30	
10304	2816	9152	Unknown	1979-04-28	1979-04-28	
10315	1821	2550	Male	1979-05-02	1982-01-10	
10319			Male	1979-04-01	1979-05-01	
10326	1703	6253	Male	1979-05-09	1979-05-09	
10328			Male	1979-04-13	1979-05-02	
10329			Male	1979-05-12	1979-05-12	
10330		8981	Female	1979-04-15		1990-02-20 00:00
10331	1082	8938	Male	1979-05-15	1979-05-15	
10334		7250	Female	1979-04-10	1991-10-02	
10365	2700	8951	Male	1979-05-21		1984-05-31 00:00
10368		7281	Female	1979-03-22		1987-04-14 00:00
10369		7737	Female	1979-04-10	1990-01-11	
10370		7202	Male	1979-04-22		1990-06-13 00:00
10371		8021	Female	1979-02-22	1991-08-26	
10372		8025	Female	1979-05-01	1993-01-20	
10373		7729	Female	1979-04-10	1980-11-23	
10374		7733	Male	1979-03-07	1984-02-13	
10375		6146	Male	1979-04-10		1988-06-30 00:00
10376		8017	Female	1979-05-01		1990-02-20 00:00
10377		8018	Female	1979-05-01		1993-07-28 00:00
10378		8016	Female	1979-03-07		1989-05-30 00:00
10379		8060	Male	1979-05-01		1980-09-10 00:00
10380		8015	Male	1979-05-22		1980-09-10 00:00
10381		7969	Male	1979-04-10		1980-09-10 00:00
10382		7697	Male	1979-04-22		1980-09-10 00:00
10383		8022	Male	1979-05-05		1980-09-03 00:00
10384		7696	Female	1979-05-01	1995-07-27	
10385		7210	Male	1979-04-22		1980-09-10 00:00
10386		8028	Male	1979-05-01		1980-09-10 00:00
10387		7694	Male	1979-04-10		1980-09-10 00:00
10388		8067	Male	1979-03-22		1980-09-10 00:00
10389		7692	Female	1979-05-17		1996-05-03 00:00
10390		8065	Female	1979-04-10	1982-09-07	
10391		6201	Male	1979-05-05		1980-09-10 00:00
10392		7119	Female	1979-05-22	1979-05-22	
10393		7964	Female	1979-04-22	1997-09-03	
10394		8483	Male	1979-03-23	1979-09-04	
10395		8326	Male	1979-03-14		1990-08-14 00:00
10396		8346	Female	1979-02-23	1985-09-09	
10397		8381	Female	1979-04-11	1985-04-22	
10398		8496	Male	1979-03-23		1980-09-10 00:00
10399		8472	Male	1979-03-23		1980-09-10 00:00
104			Female		1971-04-13	
10400		8358	Male	1979-03-14		1980-09-10 00:00
10401		8343	Female	1979-03-23	1998-10-01	
10402		8476	Female	1979-02-23	1992-09-30	
10403		8512	Male	1979-04-23		1980-09-10 00:00
10404		8455	Male	1979-05-09		1980-09-10 00:00
10405		8380	Male	1979-03-14		1980-09-10 00:00
10406		8495	Female	1979-03-14		1987-09-01 00:00
10407		8327	Male	1979-03-14		1980-09-10 00:00
10408		8376	Female	1979-04-11	1995-05-18	
10409		8362	Female	1979-02-23		1990-06-12 00:00
10410		8522	Male	1979-04-11		1980-09-10 00:00
10411		8387	Female	1979-05-16		1996-02-29 00:00
10412		8402	Male	1979-03-23		1980-09-10 00:00
10413		8389	Female	1979-05-19		1989-04-04 00:00
10414		8356	Male	1979-05-02		1980-09-10 00:00
10415		8456	Female	1979-02-23	1985-08-06	
10416		8430	Male	1979-03-14		1980-09-03 00:00
10417		8515	Female	1979-04-11	1999-11-11	
10418		8320	Male	1979-05-21	1980-08-16	
10419		8446	Male	1979-03-14		1980-09-10 00:00
10420	2167	8394	Male	1979-05-23	1979-05-23	
10422		8497	Female	1979-04-11		1990-06-11 00:00
10423		8513	Male	1979-02-23		1980-09-10 00:00
10424		8449	Female	1979-02-23		1989-05-30 00:00
10425		8447	Male	1979-04-11	1980-02-06	
10426		8506	Female	1979-04-04	1982-02-23	
10427		8360	Male	1979-02-23		1980-09-03 00:00
10428		8468	Female	1979-04-11		1989-10-24 00:00
10429		8323	Male	1979-03-23		1980-09-03 00:00
10430		8507	Female	1979-02-23		1997-01-27 00:00
10431		8502	Male	1979-02-23		1980-09-10 00:00
10432		8460	Male	1979-04-23		1980-09-10 00:00
10433	6982	9096	Male	1979-05-26	1979-08-19	
10435		9093	Male	1979-05-08	1983-07-08	
10436		8979	Female	1979-04-17		1991-09-23 00:00
10437		9086	Female	1979-05-27	1989-06-13	
10438		8953	Female	1979-02-28	1992-02-20	
10439		8958	Female	1979-05-28	1987-10-09	
10440		9149	Male	1979-05-19	1983-04-04	
10441		9085	Female	1979-04-24	1983-07-12	
10442		8977	Female	1979-03-15		1990-05-15 00:00
10443		8333	Male	1979-03-15		1989-08-21 00:00
10444		9124	Female	1979-03-15	1991-06-21	
10445		9129	Female	1979-04-24		1988-03-01 00:00
10446		9075	Female	1979-03-15	1983-05-05	
10447		8992	Male	1979-04-29	1986-07-03	
10448		8975	Female	1979-05-08	1990-04-11	
10449		8991	Male	1979-05-22	1988-03-16	
10450		9137	Male	1979-05-15	1986-05-21	
10451		8971	Male	1979-05-09	1979-05-28	
10452		9134	Female	1979-05-04		1991-12-10 00:00
10453		9122	Female	1979-04-17		1991-09-23 00:00
10454		8990	Male	1979-04-24	1985-08-08	
10455		8967	Male	1979-02-28		1980-09-10 00:00
10456		9094	Female	1979-05-18	1987-04-22	
10457		8957	Male	1979-02-28		1980-09-10 00:00
10458		9151	Female	1979-05-22		1990-06-12 00:00
10459		9125	Male	1979-05-08		1980-09-03 00:00
10460		9145	Male	1979-04-29	1980-03-14	
10461		8983	Male	1979-05-18		1980-09-03 00:00
10462		9097	Male	1979-05-08		1980-09-03 00:00
10463		8946	Female	1979-03-29	1982-12-21	
10464		8965	Female	1979-03-29		1984-07-25 00:00
10465		8976	Female	1979-05-08	1990-11-07	
10467	2700	6751	Female	1979-05-31	1980-08-07	
10468	7083	9123	Male	1979-05-31	1986-03-02	
10471	5302	9352	Female	1979-06-02	1989-11-15	
10472	2816	9309	Male	1979-06-03		1990-01-16 00:00
10473	6927	6906	Female	1979-06-04	2001-12-06	
10474		8956	Male	1979-05-30	1979-06-02	
10475		9076	Female	1979-06-01	1980-07-22	
10479		7006	Unknown	1979-06-05	1979-06-05	
10482			Female	1978-06-06	1978-06-06	
10483		8950	Female	1979-06-09	1980-07-22	
10485	1401	6898	Female	1979-06-12	1991-07-29	
10495	5302	5507	Female	1979-06-16	2004-01-13	
10496	6982	9050	Female	1979-06-16		1988-08-30 00:00
105			Female		1965-09-22	
10500	6080	8328	Male	1979-06-18	1986-08-06	
10501			Unknown	1979-05-15	1979-06-15	
10507	2816	7168	Unknown	1979-06-17	1979-06-17	
10508	2816	9398	Male	1979-06-19	1979-06-19	
10509	5479	6011	Male	1979-06-19	1980-04-15	
10532	1821	6039	Unknown	1978-06-30	1978-06-30	
10533	7838	8479	Unknown	1978-10-10	1978-10-10	
10534	6927	5994	Unknown	1978-10-14	1978-10-14	
10536	7084	8948	Male	1979-06-27		1984-05-30 00:00
10537	1703	6910	Female	1979-06-28		1990-08-15 00:00
10538			Female	1979-06-28	1979-06-28	
10540	1821	9034	Male	1979-06-29		1988-03-01 00:00
10543	6982	8399	Male	1979-07-02	2008-11-04	
10544	1401	9072	Male	1979-07-03	1979-07-03	
10546	6927	7185	Unknown	1978-05-10	1978-05-10	
10547	1821	6233	Male	1979-07-05		1984-05-30 00:00
10548			Male	1979-04-26	1979-07-10	
