Id,Sire,Sire Type,Dam,Dam Type,Sex,Number of Parents Known,Birth,Arrival At Center,Death,Departure,Status,ancestry,From Center?,Origin
456,,,76,Observed,Male,1,1980-03-25,1980-03-25,1982-12-29,,Dead,Japan,TRUE,
457,,,98,Observed,Female,1,1980-03-28,1980-03-28,1984-11-21,,Dead,Japan,TRUE,
458,,,72,Observed,Female,1,1980-03-28,1980-03-28,,1982-04-27,Shipped,Japan,TRUE,
459,,,129,Observed,Female,1,1980-03-30,1980-03-30,1994-11-30,,Dead,Japan,TRUE,
460,,,133,Observed,Female,1,1980-04-01,1980-04-01,,1982-04-27,Shipped,Japan,TRUE,
461,,,12,Observed,Female,1,1980-04-06,1980-04-06,,1982-04-27,Shipped,Japan,TRUE,
462,,,135,Observed,Female,1,1980-04-07,1980-04-07,1986-03-31,,Dead,Japan,TRUE,
463,,,198,Observed,Male,1,1980-04-08,1980-04-08,1985-09-03,,Dead,Japan,TRUE,
464,,,175,Observed,Male,1,1980-04-09,1980-04-09,1986-11-25,,Dead,Japan,TRUE,
465,,,74,Observed,Male,1,1980-04-10,1980-04-10,,1982-04-27,Shipped,Japan,TRUE,
466,,,155,Observed,Male,1,1980-04-10,1980-04-10,,1982-04-27,Shipped,Japan,TRUE,
467,,,169,Observed,Male,1,1980-04-11,1980-04-11,,1982-04-27,Shipped,Japan,TRUE,
468,,,222,Observed,Female,1,1980-04-11,1980-04-11,1991-09-18,,Dead,Japan,TRUE,
469,,,102,Observed,Female,1,1980-04-15,1980-04-15,1980-07-15,,Dead,Japan,TRUE,
470,,,83,Observed,Female,1,1980-04-21,1980-04-21,,1982-04-27,Shipped,Japan,TRUE,
471,,,181,Observed,Female,1,1980-04-21,1980-04-21,1980-04-21,,Dead,Japan,TRUE,
472,,,71,Observed,Female,1,1980-04-26,1980-04-26,,1995-10-10,Shipped,Japan,TRUE,
473,,,234,Observed,Male,1,1980-05-01,1980-05-01,1980-05-01,,Dead,Japan,TRUE,
474,,,150,Observed,Female,1,1980-05-03,1980-05-03,1987-12-11,,Dead,Japan,TRUE,
475,,,246,Observed,Male,1,1980-05-05,1980-05-05,,1982-04-27,Shipped,Japan,TRUE,
476,,,165,Observed,Male,1,1980-05-05,1980-05-05,,1982-04-27,Shipped,Japan,TRUE,
477,,,262,Observed,Female,1,1980-05-06,1980-05-06,1987-06-18,,Dead,Japan,TRUE,
478,,,235,Observed,Male,1,1980-05-07,1980-05-07,1986-03-10,,Dead,Japan,TRUE,
479,,,204,Observed,Female,1,1980-05-07,1980-05-07,,1982-04-27,Shipped,Japan,TRUE,
480,,,93,Observed,Male,1,1980-05-09,1980-05-09,,1982-04-27,Shipped,Japan,TRUE,
481,,,226,Observed,Male,1,1980-05-11,1980-05-11,1985-08-13,,Dead,Japan,TRUE,
482,,,205,Observed,Male,1,1980-05-11,1980-05-11,1982-04-22,,Dead,Japan,TRUE,
483,,,16,Observed,Female,1,1980-05-11,1980-05-11,,1982-04-27,Shipped,Japan,TRUE,
484,,,211,Observed,Female,1,1980-05-12,1980-05-12,,1982-04-27,Shipped,Japan,TRUE,
485,,,177,Observed,Female,1,1980-05-13,1980-05-13,1985-02-27,,Dead,Japan,TRUE,
486,,,51,Observed,Male,1,1980-05-14,1980-05-14,1986-06-30,,Dead,Japan,TRUE,
487,,,232,Observed,Male,1,1980-05-12,1980-05-12,1987-10-19,,Dead,Japan,TRUE,
488,,,171,Observed,Female,1,1980-05-13,1980-05-13,1989-07-24,,Dead,Japan,TRUE,
489,,,163,Observed,Female,1,1980-05-13,1980-05-13,1982-12-08,,Dead,Japan,TRUE,
490,,,223,Observed,Male,1,1980-05-15,1980-05-15,,1982-04-27,Shipped,Japan,TRUE,
491,,,248,Observed,Female,1,1980-05-15,1980-05-15,1994-11-05,,Dead,Japan,TRUE,
492,,,238,Observed,Female,1,1980-05-16,1980-05-16,,1982-04-27,Shipped,Japan,TRUE,
493,,,282,Observed,Female,1,1980-05-20,1980-05-20,,1982-04-27,Shipped,Japan,TRUE,
494,,,100,Observed,Female,1,1980-05-21,1980-05-21,1986-12-30,,Dead,Japan,TRUE,
495,,,188,Observed,Unknown,1,1980-05-22,1980-05-22,1980-05-22,,Dead,Japan,TRUE,
496,,,269,Observed,Male,1,1980-05-23,1980-05-23,1993-10-20,,Dead,Japan,TRUE,
497,,,263,Observed,Male,1,1980-05-29,1980-05-29,1980-06-21,,Dead,Japan,TRUE,
498,,,84,Observed,Female,1,1980-06-03,1980-06-03,,1982-04-27,Shipped,Japan,TRUE,
499,,,225,Observed,Male,1,1980-06-04,1980-06-04,1986-09-29,,Dead,Japan,TRUE,
500,,,288,Observed,Male,1,1980-06-05,1980-06-05,1982-12-23,,Dead,Japan,TRUE,
501,,,6,Observed,Female,1,1980-06-10,1980-06-10,1994-10-27,,Dead,Japan,TRUE,
502,,,253,Observed,Male,1,1980-06-11,1980-06-11,1980-06-21,,Dead,Japan,TRUE,
503,,,105,Observed,Female,1,1980-06-12,1980-06-12,1986-11-10,,Dead,Japan,TRUE,
504,,,287,Observed,Female,1,1980-06-19,1980-06-19,1985-05-15,,Dead,Japan,TRUE,
505,,,192,Observed,Male,1,1980-06-20,1980-06-20,1986-07-01,,Dead,Japan,TRUE,
506,,,32,Observed,Male,1,1980-06-26,1980-06-26,1980-07-01,,Dead,Japan,TRUE,
507,,,109,Observed,Male,1,1980-06-30,1980-06-30,1983-10-26,,Dead,Japan,TRUE,
508,,,130,Observed,Male,1,1980-07-02,1980-07-02,,1982-04-27,Shipped,Japan,TRUE,
509,,,85,Observed,Male,1,1980-07-02,1980-07-02,1980-07-02,,Dead,Japan,TRUE,
510,,,270,Observed,Female,1,1980-07-08,1980-07-08,1997-02-28,,Dead,Japan,TRUE,
511,,,271,Observed,Female,1,1980-07-12,1980-07-12,1989-03-21,,Dead,Japan,TRUE,
512,,,281,Observed,Male,1,1980-07-21,1980-07-21,1986-07-01,,Dead,Japan,TRUE,
513,,,159,Observed,Female,1,1980-07-25,1980-07-25,,1982-04-27,Shipped,Japan,TRUE,
514,,,277,Observed,Female,1,1980-08-04,1980-08-04,1980-08-04,,Dead,Japan,TRUE,
515,,,158,Observed,Male,1,1981-03-03,1981-03-03,,1982-04-27,Shipped,Japan,TRUE,
516,,,137,Observed,Male,1,1981-03-08,1981-03-08,,1982-04-27,Shipped,Japan,TRUE,
517,,,42,Observed,Female,1,1981-06-28,1981-06-28,1987-01-06,,Dead,Japan,TRUE,
518,,,65,Observed,Female,1,1981-03-18,1981-03-18,,1982-04-27,Shipped,Japan,TRUE,
519,,,268,Observed,Male,1,1981-05-25,1981-05-25,1984-11-01,,Dead,Japan,TRUE,
520,,,122,Observed,Male,1,1981-04-11,1981-04-11,1986-08-29,,Dead,Japan,TRUE,
521,,,186,Observed,Male,1,1981-03-24,1981-03-24,1981-03-24,,Dead,Japan,TRUE,
522,,,98,Observed,Female,1,1981-06-29,1981-06-29,,1995-10-10,Shipped,Japan,TRUE,
523,,,230,Observed,Male,1,1981-03-30,1981-03-30,,1982-04-27,Shipped,Japan,TRUE,
524,,,,,Male,0,1981-04-07,1981-04-07,,1982-04-27,Shipped,Japan,TRUE,
525,,,75,Genetic,Female,1,1981-06-10,1981-06-10,2008-03-20,,Dead,Japan,TRUE,
526,,,253,Observed,Female,1,1981-04-09,1981-04-09,,1982-04-27,Shipped,Japan,TRUE,
527,,,9,Observed,Female,1,1981-04-10,1981-04-10,1981-06-07,,Dead,Japan,TRUE,
528,,,191,Observed,Male,1,1981-04-10,1981-04-10,1981-04-10,,Dead,Japan,TRUE,
529,,,78,Observed,Male,1,1981-04-15,1981-04-15,,1995-10-10,Shipped,Japan,TRUE,
530,,,255,Observed,Male,1,1981-04-11,1981-04-11,1994-05-11,,Dead,Japan,TRUE,
531,,,127,Observed,Male,1,1981-04-07,1981-04-07,1987-10-19,,Dead,Japan,TRUE,
532,,,202,Observed,Male,1,1981-04-12,1981-04-12,,1982-04-27,Shipped,Japan,TRUE,
533,,,229,Observed,Female,1,1981-04-08,1981-04-08,1990-10-09,,Dead,Japan,TRUE,
534,,,244,Observed,Male,1,1981-04-12,1981-04-12,,1982-04-27,Shipped,Japan,TRUE,
535,,,182,Observed,Female,1,1981-04-12,1981-04-12,1987-06-11,,Dead,Japan,TRUE,
536,,,163,Observed,Female,1,1981-06-07,1981-06-07,1986-07-13,,Dead,Japan,TRUE,
537,,,,,Male,0,1981-04-15,1981-04-15,,1982-04-27,Shipped,Japan,TRUE,
538,,,,,Male,0,1981-04-16,1981-04-16,,1982-04-27,Shipped,Japan,TRUE,
539,,,208,Observed,Unknown,1,1981-04-16,1981-04-16,1981-05-07,,Dead,Japan,TRUE,
540,,,242,Observed,Male,1,1981-04-19,1981-04-19,1986-01-12,,Dead,Japan,TRUE,
541,,,,,Female,0,1981-04-21,1981-04-21,,1982-04-27,Shipped,Japan,TRUE,
542,,,263,Observed,Male,1,1981-04-22,1981-04-22,,1982-04-27,Shipped,Japan,TRUE,
543,,,61,Observed,Female,1,1981-04-28,1981-04-28,1981-08-20,,Dead,Japan,TRUE,
544,,,44,Observed,Female,1,1981-04-28,1981-04-28,,1982-04-27,Shipped,Japan,TRUE,
545,,,198,Observed,Female,1,1981-05-24,1981-05-24,2000-01-31,,Dead,Japan,TRUE,
