Id,Sire,Sire Type,Dam,Dam Type,Sex,Number of Parents Known,Birth,Arrival At Center,Death,Departure,Status,ancestry,From Center?,Origin 
960,,,,,Female,0,1989-07-01,1989-07-01,,1990-10-18,Shipped,Japan,TRUE,
961,,,,,Female,0,1989-06-01,1989-06-01,,1990-10-18,Shipped,Japan,TRUE,
962,,,319,Observed,Female,1,1989-06-01,1989-06-01,,1991-10-11,Shipped,Japan,TRUE,
963,,,691,Observed,Female,1,1989-07-01,1989-07-01,,1990-10-18,Shipped,Japan,TRUE,
964,,,242,Observed,Female,1,1989-09-01,1989-09-01,1990-05-08,,Dead,Japan,TRUE,
965,,,268,Observed,Male,1,1989-07-01,1989-07-01,,1990-10-18,Shipped,Japan,TRUE,
966,,,325,Observed,Male,1,1989-07-01,1989-07-01,2004-02-18,,Dead,Japan,TRUE,
967,,,232,Observed,Male,1,1989-07-01,1989-07-01,,1991-10-11,Shipped,Japan,TRUE,
968,,,151,Observed,Female,1,1989-09-01,1989-09-01,,1995-10-10,Shipped,Japan,TRUE,
969,,,701,Observed,Male,1,1989-07-01,1989-07-01,,1990-10-18,Shipped,Japan,TRUE,
970,,,546,Observed,Female,1,1989-06-01,1989-06-01,,1991-10-11,Shipped,Japan,TRUE,
971,,,432,Observed,Female,1,1989-10-01,1989-10-01,2013-02-06,,Dead,Japan,TRUE,
972,,,630,Observed,Female,1,1989-06-01,1989-06-01,1995-09-13,,Dead,Japan,TRUE,
973,,,698,Observed,Male,1,1989-07-01,1989-07-01,1991-06-03,,Dead,Japan,TRUE,
974,,,501,Observed,Female,1,1989-07-01,1989-07-01,1992-11-10,,Dead,Japan,TRUE,
975,,,545,Observed,Male,1,1989-08-01,1989-08-01,,1991-10-11,Shipped,Japan,TRUE,
976,,,573,Observed,Male,1,1989-07-01,1989-07-01,,1991-10-11,Shipped,Japan,TRUE,
977,,,,,Male,0,1989-06-01,1989-06-01,1998-01-21,,Dead,Japan,TRUE,
978,,,,,Female,0,1990-05-06,1990-05-06,1990-05-09,,Dead,Japan,TRUE,
979,,,,,Unknown,0,1990-06-15,1990-06-15,1990-06-23,,Dead,Japan,TRUE,
980,,,,,Male,0,1990-07-12,1990-07-12,1990-07-12,,Dead,Japan,TRUE,
981,,,757,Observed,Male,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
982,,,268,Observed,Male,1,1990-06-01,1990-06-01,1992-10-14,,Dead,Japan,TRUE,
983,,,282,Observed,Female,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
984,,,712,Observed,Female,1,1990-06-01,1990-06-01,1990-12-17,,Dead,Japan,TRUE,
985,,,150,Observed,Female,1,1990-09-01,1990-09-01,1990-10-30,,Dead,Japan,TRUE,
986,,,768,Observed,Female,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
987,,,390,Observed,Male,1,1990-06-01,1990-06-01,,1993-10-18,Shipped,Japan,TRUE,
988,,,729,Observed,Male,1,1990-05-15,1990-05-15,,1991-10-11,Shipped,Japan,TRUE,
989,,,76,Observed,Female,1,1990-06-15,1990-06-15,2010-12-02,,Dead,Japan,TRUE,
990,,,386,Observed,Male,1,1990-05-01,1990-05-01,,1991-10-11,Shipped,Japan,TRUE,
991,,,226,Observed,Female,1,1990-06-01,1990-06-01,,,Alive,Japan,TRUE,
992,,,491,Observed,Male,1,1990-06-01,1990-06-01,2001-06-11,,Dead,Japan,TRUE,
993,,,360,Observed,Male,1,1990-06-01,1990-06-01,1991-04-26,,Dead,Japan,TRUE,
994,,,232,Observed,Male,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
995,,,763,Observed,Male,1,1990-06-15,1990-06-15,2007-12-12,,Dead,Japan,TRUE,
996,,,730,Observed,Female,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
997,,,609,Observed,Female,1,1990-05-01,1990-05-01,,1995-10-10,Shipped,Japan,TRUE,
998,,,198,Observed,Female,1,1990-09-01,1990-09-01,1990-12-10,,Dead,Japan,TRUE,
999,,,459,Observed,Female,1,1990-06-01,1990-06-01,1990-12-17,,Dead,Japan,TRUE,
1000,,,823,Observed,Male,1,1990-06-01,1990-06-01,1998-04-16,,Dead,Japan,TRUE,
1001,,,824,Observed,Female,1,1990-06-01,1990-06-01,,1995-10-10,Shipped,Japan,TRUE,
1002,,,546,Observed,Female,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1003,,,773,Observed,Female,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1004,,,337,Observed,Male,1,1990-06-01,1990-06-01,1992-01-29,,Dead,Japan,TRUE,
1005,,,761,Observed,Female,1,1990-08-15,1990-08-15,1990-12-24,,Dead,Japan,TRUE,
1006,,,468,Observed,Female,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1007,,,741,Observed,Female,1,1990-06-01,1990-06-01,1990-11-06,,Dead,Japan,TRUE,
1008,,,,,Male,0,1990-06-01,1990-06-01,,1998-04-07,Shipped,Japan,TRUE,
1009,,,,,Male,0,1990-08-01,1990-08-01,1991-10-15,,Dead,Japan,TRUE,
1010,,,,,Female,0,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1011,,,,,Female,0,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1012,,,,,Male,0,1990-06-01,1990-06-01,,1993-10-18,Shipped,Japan,TRUE,
1013,,,,,Male,0,1990-06-01,1990-06-01,,1993-10-18,Shipped,Japan,TRUE,
1014,,,,,Female,0,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1015,,,,,Female,0,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1016,,,,,Unknown,0,1990-05-01,1990-05-01,1990-10-01,,Dead,Japan,TRUE,
1017,,,325,Observed,Female,1,1990-06-01,1990-06-01,,1991-10-11,Shipped,Japan,TRUE,
1018,,,,,Female,0,1991-04-18,1991-04-18,1991-04-22,,Dead,Japan,TRUE,
1019,,,,,Female,0,1991-04-22,1991-04-22,1991-04-23,,Dead,Japan,TRUE,
1020,,,,,Male,0,1991-05-25,1991-05-25,1991-05-25,,Dead,Japan,TRUE,
1021,,,,,Female,0,1991-05-28,1991-05-28,1991-05-30,,Dead,Japan,TRUE,
1022,,,,,Female,0,1991-06-11,1991-06-11,1991-06-11,,Dead,Japan,TRUE,
1023,,,,,Female,0,1991-06-17,1991-06-17,1991-06-17,,Dead,Japan,TRUE,
1024,,,,,Female,0,1991-07-01,1991-07-01,1991-07-25,,Dead,Japan,TRUE,
1025,,,818,Observed,Female,1,1991-09-01,1991-09-01,,,Alive,Japan,TRUE,
1026,,,761,Observed,Female,1,1991-06-15,1991-06-15,1992-01-22,,Dead,Japan,TRUE,
1027,,,691,Genetic,Male,1,1991-06-15,1991-06-15,2000-10-13,,Dead,Japan,TRUE,
1028,,,630,Genetic,Male,1,1991-06-15,1991-06-15,2010-06-07,,Dead,Japan,TRUE,
1029,,,501,Observed,Male,1,1991-09-01,1991-09-01,1999-11-29,,Dead,Japan,TRUE,
1030,,,609,Observed,Female,1,1991-06-15,1991-06-15,1998-10-23,,Dead,Japan,TRUE,
1031,,,232,Observed,Male,1,1991-06-15,1991-06-15,,,Alive,Japan,TRUE,
1032,,,741,Observed,Male,1,1991-06-15,1991-06-15,,1993-10-18,Shipped,Japan,TRUE,
1033,,,75,Genetic,Female,1,1991-06-15,1991-06-15,2001-07-03,,Dead,Japan,TRUE,
1034,,,325,Observed,Male,1,1991-06-15,1991-06-15,2000-10-12,,Dead,Japan,TRUE,
1035,,,757,Observed,Female,1,1991-07-01,1991-07-01,1999-01-28,,Dead,Japan,TRUE,
1036,,,712,Observed,Male,1,1991-09-15,1991-09-15,2000-10-11,,Dead,Japan,TRUE,
1037,,,546,Observed,Male,1,1991-06-15,1991-06-15,1992-11-04,,Dead,Japan,TRUE,
1038,677,Genetic,522,Observed,Male,2,1991-09-15,1991-09-15,,,Alive,Japan,TRUE,
1039,,,861,Observed,Male,1,1991-06-15,1991-06-15,2005-06-01,,Dead,Japan,TRUE,
1040,,,510,Observed,Female,1,1991-06-15,1991-06-15,2010-12-02,,Dead,Japan,TRUE,
1041,,,763,Observed,Male,1,1991-07-01,1991-07-01,1994-04-13,,Dead,Japan,TRUE,
1042,,,430,Observed,Male,1,1991-07-01,1991-07-01,,,Alive,Japan,TRUE,
1043,,,282,Observed,Female,1,1991-06-15,1991-06-15,,,Alive,Japan,TRUE,
1044,,,698,Observed,Male,1,1991-06-15,1991-06-15,1997-01-14,,Dead,Japan,TRUE,
1045,,,491,Observed,Male,1,1991-06-15,1991-06-15,,1992-08-03,Shipped,Japan,TRUE,
1046,,,856,Genetic,Male,1,1991-06-15,1991-06-15,1999-11-22,,Dead,Japan,TRUE,
1047,,,800,Observed,Female,1,1991-06-15,1991-06-15,1995-04-17,,Dead,Japan,TRUE,
1048,,,171,Genetic,Male,1,1991-06-15,1991-06-15,2014-01-23,,Dead,Japan,TRUE,
1049,772,Genetic,545,Observed,Male,2,1991-06-15,1991-06-15,2001-05-15,,Dead,Japan,TRUE,
1050,,,,,Female,0,1991-06-15,1991-06-15,1992-11-30,,Dead,Japan,TRUE,
1051,,,198,Observed,Female,1,1991-07-01,1991-07-01,1992-11-29,,Dead,Japan,TRUE,
1052,,,242,Genetic,Male,1,1991-06-15,1991-06-15,1995-11-08,,Dead,Japan,TRUE,
1053,,,129,Genetic,Female,1,1991-04-20,1991-04-20,2000-04-17,,Dead,Japan,TRUE,
1054,,,,,Male,0,1991-04-20,1991-04-20,,1998-04-07,Shipped,Japan,TRUE,
1055,,,,,Male,0,1991-06-15,1991-06-15,,1998-04-07,Shipped,Japan,TRUE,
1056,,,,,Female,0,1991-06-15,1991-06-15,1999-02-09,,Dead,Japan,TRUE,
1057,,,,,Female,0,1991-06-15,1991-06-15,1999-12-07,,Dead,Japan,TRUE,
1058,,,853,Observed,Male,1,1991-07-30,1991-07-30,,1991-10-11,Shipped,Japan,TRUE,
1059,,,,,Male,0,1991-06-15,1991-06-15,,1992-08-03,Shipped,Japan,TRUE,
1060,,,,,Male,0,1991-05-01,1991-05-01,1995-05-10,,Dead,Japan,TRUE,
1061,,,,,Unknown,0,1992-06-01,1992-06-01,1992-06-01,,Dead,Japan,TRUE,
1062,,,,,Male,0,1992-04-01,1992-04-01,1992-07-20,,Dead,Japan,TRUE,
6,,,,,Female,0,,1965-05-25,1997-08-29,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
7,,,,,Female,0,,1965-05-25,1969-06-11,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
8,,,,,Male,0,,1965-05-25,1981-09-11,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
9,,,,,Female,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
10,,,,,Female,0,,1965-05-25,1971-12-14,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
11,,,,,Male,0,,1965-05-25,1980-03-17,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
12,,,,,Female,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
13,,,,,Male,0,,1965-05-25,1987-03-30,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
14,,,,,Female,0,,1965-05-25,1974-05-13,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
15,,,,,Male,0,,1965-05-25,1983-10-06,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
16,,,,,Female,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
1063,,,,,Male,0,1992-05-01,1992-05-01,,1994-08-09,Shipped,Japan,TRUE,
1064,,,630,Genetic,Female,1,1992-05-01,1992-05-01,2005-11-18,,Dead,Japan,TRUE,
1065,,,573,Observed,Female,1,1992-05-01,1992-05-01,1993-01-29,,Dead,Japan,TRUE,
1066,,,337,Observed,Female,1,1992-05-01,1992-05-01,1992-12-09,,Dead,Japan,TRUE,
1067,,,525,Genetic,Female,1,1992-05-01,1992-05-01,,,Alive,Japan,TRUE,
1068,,,,,Female,0,1992-05-01,1992-05-01,1992-12-03,,Dead,Japan,TRUE,
1069,,,912,Observed,Female,1,1992-05-01,1992-05-01,2003-07-07,,Dead,Japan,TRUE,
1070,,,906,Genetic,Female,1,1992-05-01,1992-05-01,2001-06-27,,Dead,Japan,TRUE,
1071,,,768,Observed,Male,1,1992-05-01,1992-05-01,,1995-09-29,Shipped,Japan,TRUE,
17,,,,,Male,0,,1965-05-25,1977-08-17,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
1072,,,691,Observed,Male,1,1992-05-01,1992-05-01,,1995-09-29,Shipped,Japan,TRUE,
1073,,,703,Observed,Male,1,1992-05-01,1992-05-01,1992-12-02,,Dead,Japan,TRUE,
1074,666,Genetic,546,Observed,Female,2,1992-05-01,1992-05-01,2008-11-19,,Dead,Japan,TRUE,
1075,,,548,Observed,Male,1,1992-05-01,1992-05-01,,1995-09-29,Shipped,Japan,TRUE,
1076,,,545,Provisional Genetic,Female,1,1992-05-01,1992-05-01,2000-11-28,,Dead,Japan,TRUE,
1077,,,447,Observed,Female,1,1992-05-01,1992-05-01,2006-01-31,,Dead,Japan,TRUE,
1078,,,171,Observed,Female,1,1992-05-01,1992-05-01,1993-08-21,,Dead,Japan,TRUE,
1079,,,824,Genetic,Female,1,1992-05-01,1992-05-01,,,Alive,Japan,TRUE,
1080,,,405,Observed,Male,1,1992-06-01,1992-06-01,,1994-08-09,Shipped,Japan,TRUE,
1081,,,833,Observed,Female,1,1992-05-01,1992-05-01,2003-12-19,,Dead,Japan,TRUE,
18,,,,,Female,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
1082,,,609,Observed,Female,1,1992-05-01,1992-05-01,2011-01-13,,Dead,Japan,TRUE,
1083,610,Genetic,,,Female,1,1992-05-01,1992-05-01,,,Alive,Japan,TRUE,
1084,,,,,Male,0,1992-06-01,1992-06-01,1995-04-26,,Dead,Japan,TRUE,
1085,,,,,Male,0,1992-05-01,1992-05-01,,1995-09-29,Shipped,Japan,TRUE,
1086,,,,,Female,0,1992-05-01,1992-05-01,2002-06-27,,Dead,Japan,TRUE,
1087,,,,,Male,0,1992-05-01,1992-05-01,1995-06-09,,Dead,Japan,TRUE,
1088,,,242,Genetic,Female,1,1992-05-01,1992-05-01,2004-08-03,,Dead,Japan,TRUE,
1089,647,Genetic,446,Genetic,Female,2,1992-05-01,1992-05-01,,,Alive,Japan,TRUE,
19,,,,,Female,0,,1965-05-25,1966-03-31,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
20,,,,,Male,0,,1965-05-25,1985-02-19,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
21,,,,,Male,0,,1965-05-25,1966-10-10,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
22,,,,,Male,0,,1965-05-25,1968-10-08,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
23,,,,,Female,0,,1965-05-25,1966-03-28,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
24,,,,,Male,0,,1965-05-25,1969-06-04,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
25,,,,,Male,0,,1965-05-25,1981-01-05,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
26,,,,,Male,0,,1965-05-25,1977-06-22,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
27,,,,,Male,0,,1965-05-25,1989-04-05,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
28,,,,,Male,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
29,,,,,Male,0,,1965-05-25,1969-07-10,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
30,,,,,Male,0,,1965-05-25,1968-07-21,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
31,,,,,Female,0,,1965-05-25,1981-03-05,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
32,,,,,Female,0,,1965-05-25,1992-01-24,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
33,,,,,Male,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
34,,,,,Male,0,,1965-05-25,1967-12-18,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
35,,,,,Female,0,,1965-05-25,1986-12-08,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
36,,,,,Female,0,,1965-05-25,1974-10-31,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
37,,,,,Female,0,,1965-05-25,1965-05-26,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
38,,,,,Female,0,,1965-05-25,1975-01-26,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
1090,,,,,Female,0,1993-04-01,1993-04-01,1993-04-01,,Dead,Japan,TRUE,
39,,,,,Female,0,,1965-05-25,1979-12-05,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
40,,,,,Female,0,,1965-05-25,1978-10-18,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
41,,,,,Male,0,,1965-05-25,1980-10-13,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
42,,,,,Female,0,,1965-05-25,1987-10-01,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
43,,,,,Male,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
44,,,,,Female,0,,1965-05-25,,1982-04-27,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
45,,,,,Male,0,,1965-05-25,1975-11-03,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
46,,,,,Male,0,,1965-05-25,1975-02-27,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
47,,,,,Female,0,,1965-05-25,1967-12-18,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
48,,,,,Male,0,,1965-05-25,1988-03-02,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
49,,,,,Male,0,,1965-05-25,1967-12-18,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
50,,,,,Female,0,,1965-05-25,1982-12-29,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
51,,,,,Female,0,,1965-05-25,1987-09-23,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
52,,,,,Male,0,,1965-05-25,1971-07-28,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
53,,,,,Female,0,,1965-05-25,1978-11-14,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
1091,,,,,Unknown,0,1993-05-01,1993-05-01,1993-06-23,,Dead,Japan,TRUE,
54,,,,,Male,0,,1965-05-25,,1976-11-03,Shipped,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
55,,,,,Female,0,,1965-05-25,1990-11-13,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
1092,,,,,Female,0,1993-07-01,1993-07-01,1993-07-11,,Dead,Japan,TRUE,
56,,,,,Male,0,,1965-05-25,1982-07-04,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
57,,,,,Male,0,,1965-05-25,1966-11-07,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
58,,,,,Male,0,,1965-05-25,1977-02-02,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
59,,,,,Female,0,,1965-05-25,1968-06-20,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
60,,,,,Male,0,,1965-05-25,1973-06-24,,Dead,Japan,FALSE,JAPAN MONKEY CENTER PRIMATE ZOO
1093,,,,,Male,0,1993-07-15,1993-07-15,1993-08-02,,Dead,Japan,TRUE,
1094,,,,,Male,0,1993-06-01,1993-06-01,1995-06-29,,Dead,Japan,TRUE,
1095,,,,,Male,0,1993-09-01,1993-09-01,1995-10-02,,Dead,Japan,TRUE,
1096,647,Genetic,,,Female,1,1993-06-01,1993-06-01,2013-01-27,,Dead,Japan,TRUE,
1097,,,446,Genetic,Male,1,1993-06-01,1993-06-01,2001-06-19,,Dead,Japan,TRUE,
1098,,,846,Genetic,Female,1,1993-07-01,1993-07-01,,,Alive,Japan,TRUE,
1099,,,,,Female,0,1993-06-01,1993-06-01,,,Alive,Japan,TRUE,
1100,677,Genetic,129,Genetic,Female,2,1993-06-01,1993-06-01,,,Alive,Japan,TRUE,
1101,,,,,Female,0,1993-06-01,1993-06-01,2004-08-12,,Dead,Japan,TRUE,
1102,772,Genetic,446,Genetic,Female,2,1993-04-20,1993-04-20,,,Alive,Japan,TRUE,
1103,,,,,Male,0,1993-09-01,1993-09-01,1995-05-22,,Dead,Japan,TRUE,
1104,,,,,Male,0,1993-04-20,1993-04-20,,1995-05-23,Shipped,Japan,TRUE,
1105,,,,,Male,0,1993-06-01,1993-06-01,,1995-05-23,Shipped,Japan,TRUE,
1106,,,695,Genetic,Female,1,1993-09-01,1993-09-01,2010-01-21,,Dead,Japan,TRUE,
1107,,,,,Male,0,1993-05-01,1993-05-01,1995-06-27,,Dead,Japan,TRUE,
1108,811,Genetic,971,Genetic,Male,2,1993-09-01,1993-09-01,,,Alive,Japan,TRUE,
1109,,,491,Observed,Female,1,1993-06-01,1993-06-01,,,Alive,Japan,TRUE,
1110,,,501,Observed,Female,1,1993-06-01,1993-06-01,2012-08-24,,Dead,Japan,TRUE,
1111,,,920,Observed,Male,1,1993-06-01,1993-06-01,,1995-11-14,Shipped,Japan,TRUE,
1112,,,242,Genetic,Male,1,1993-06-01,1993-06-01,,,Alive,Japan,TRUE,
1113,677,Genetic,818,Observed,Female,2,1993-06-01,1993-06-01,2011-01-13,,Dead,Japan,TRUE,
1114,772,Genetic,768,Observed,Male,2,1993-09-01,1993-09-01,2012-07-14,,Dead,Japan,TRUE,
1115,,,232,Observed,Male,1,1993-05-01,1993-05-01,,1995-11-14,Shipped,Japan,TRUE,
1116,,,630,Genetic,Female,1,1993-06-01,1993-06-01,2000-08-01,,Dead,Japan,TRUE,
1117,,,510,Observed,Female,1,1993-06-01,1993-06-01,1996-07-02,,Dead,Japan,TRUE,
1118,772,Genetic,337,Observed,Female,2,1993-09-01,1993-09-01,,,Alive,Japan,TRUE,
1119,,,,,Female,0,1994-04-15,1994-04-15,1994-04-16,,Dead,Japan,TRUE,
1120,,,,,Female,0,1994-06-15,1994-06-15,1994-06-15,,Dead,Japan,TRUE,
1121,,,,,Male,0,1994-06-28,1994-06-28,1994-06-30,,Dead,Japan,TRUE,
1122,,,,,Unknown,0,1994-05-01,1994-05-01,1994-05-01,,Dead,Japan,TRUE,
1123,,,573,Observed,Female,1,1994-07-06,1994-07-06,1994-07-06,,Dead,Japan,TRUE,
1124,,,,,Male,0,1994-06-01,1994-06-01,1994-07-12,,Dead,Japan,TRUE,
1125,,,,,Male,0,1993-11-01,1993-11-01,1994-08-09,,Dead,Japan,TRUE,
1126,,,,,Female,0,1994-08-01,1994-08-01,1994-09-07,,Dead,Japan,TRUE,
1127,,,,,Male,0,1994-05-15,1994-05-15,,1995-11-14,Shipped,Japan,TRUE,
1128,,,,,Male,0,1994-05-15,1994-05-15,1996-01-31,,Dead,Japan,TRUE,
1129,,,,,Male,0,1994-05-15,1994-05-15,1996-06-12,,Dead,Japan,TRUE,
1130,,,525,Genetic,Male,1,1994-05-15,1994-05-15,2002-11-19,,Dead,Japan,TRUE,
1131,,,,,Male,0,1994-05-15,1994-05-15,1997-03-12,,Dead,Japan,TRUE,
1132,,,,,Female,0,1994-05-15,1994-05-15,2009-10-15,,Dead,Japan,TRUE,
1133,811,Genetic,545,Genetic,Male,2,1994-05-15,1994-05-15,2000-10-11,,Dead,Japan,TRUE,
1134,,,,,Female,0,1994-05-15,1994-05-15,2010-01-28,,Dead,Japan,TRUE,
1135,,,,,Male,0,1994-08-01,1994-08-01,1997-03-13,,Dead,Japan,TRUE,
1136,,,,,Male,0,1994-06-01,1994-06-01,1994-12-14,,Dead,Japan,TRUE,
1137,,,,,Male,0,1994-05-15,1994-05-15,1996-06-11,,Dead,Japan,TRUE,
1138,,,,,Male,0,1994-05-15,1994-05-15,2000-10-13,,Dead,Japan,TRUE,
1139,,,,,Female,0,1994-05-15,1994-05-15,2009-05-01,,Dead,Japan,TRUE,
1140,,,,,Female,0,1994-05-15,1994-05-15,1995-06-21,,Dead,Japan,TRUE,
1141,,,757,Observed,Male,1,1994-06-01,1994-06-01,1998-07-06,,Dead,Japan,TRUE,
1142,,,691,Observed,Male,1,1994-05-15,1994-05-15,1996-06-11,,Dead,Japan,TRUE,
1143,,,823,Observed,Female,1,1994-05-15,1994-05-15,,,Alive,Japan,TRUE,
1144,,,405,Observed,Male,1,1994-05-15,1994-05-15,1995-09-28,,Dead,Japan,TRUE,
1145,,,824,Genetic,Male,1,1994-05-15,1994-05-15,2000-10-10,,Dead,Japan,TRUE,
1146,,,698,Genetic,Female,1,1994-05-15,1994-05-15,2011-01-10,,Dead,Japan,TRUE,
1147,,,459,Observed,Male,1,1994-05-15,1994-05-15,1995-06-22,,Dead,Japan,TRUE,
1148,,,712,Observed,Male,1,1994-05-15,1994-05-15,1997-03-12,,Dead,Japan,TRUE,
1149,,,861,Observed,Male,1,1994-09-01,1994-09-01,1997-03-13,,Dead,Japan,TRUE,
1150,,,171,Observed,Female,1,1994-09-01,1994-09-01,1994-11-21,,Dead,Japan,TRUE,
1151,,,928,Genetic,Male,1,1994-05-15,1994-05-15,2006-06-28,,Dead,Japan,TRUE,
1152,,,741,Observed,Male,1,1994-06-01,1994-06-01,1996-06-13,,Dead,Japan,TRUE,
1153,,,906,Genetic,Female,1,1994-10-01,1994-10-01,,,Alive,Japan,TRUE,
1154,,,491,Observed,Female,1,1994-05-15,1994-05-15,1994-10-07,,Dead,Japan,TRUE,
1155,,,1001,Observed,Male,1,1994-05-15,1994-05-15,2001-06-08,,Dead,Japan,TRUE,
1156,,,390,Genetic,Female,1,1994-05-15,1994-05-15,2005-01-12,,Dead,Japan,TRUE,
1157,,,232,Observed,Male,1,1994-05-15,1994-05-15,2009-04-07,,Dead,Japan,TRUE,
1158,,,907,Observed,Male,1,1994-05-15,1994-05-15,1996-06-12,,Dead,Japan,TRUE,
1159,,,546,Observed,Female,1,1994-05-15,1994-05-15,,,Alive,Japan,TRUE,
61,,,19,Observed,Female,1,1965-06-26,1965-06-26,,1982-04-27,Shipped,Japan,TRUE,
1160,,,1047,Observed,Female,1,1995-04-17,1995-04-17,1995-04-17,,Dead,Japan,TRUE,
1161,,,,,Male,0,1995-04-24,1995-04-24,1995-04-24,,Dead,Japan,TRUE,
1162,,,,,Male,0,1995-06-12,1995-06-12,1995-06-15,,Dead,Japan,TRUE,
