EGO ID,SIRE ID,DAM ID,SEX,BIRTH
RFy16,25403,RDq13,M,3
RGk16,25376,RVl13,F,3
RGp16,10M,RDc13,F,3
RGy16,FH21,RFy11,M,3
RHp16,25376,REs10,F,3
RJi16,93L,RMq12,F,3
RJk16,FE58,RDo12,F,3
RKp16,25395,RWj12,M,3
RKq16,ROp10,RRd11,F,3
RKr16,25376,RHd12,M,3
RKs16,134M,RHn9,M,3
RLj16,10M,RTt11,M,3
RMh16,25215,RVl12,F,3
RMi16,REb7,RQr11,F,3
RMm17,25382,RCh12,F,3
RMu16_193(RZU16)?,25376,RHe11,F,3
RNk16,151MX,RLl13,M,3
ROi16,25395,RQp12,F,3
RPs16,174M,RDy6,F,3
RPv16,FF72,RJn12,M,3
RQv16,25M,RSz13,M,3
RQw16,25376,RPp8,F,3
RRk16,25403,RGj13,M,3
RSt16,FE36,ROu7,F,3
RSw16,85M,REk6,M,3
RUm16,FF72,RPt12,M,3
RUq16,151MX,RKd9,F,3
RUv16,25395,RGd12,F,3
RVh16,25215,RRr12,M,3
RVk16,R110M,RBl11,F,3
RVp16,185M,RGb11,F,3
RWp16,RMg6,ROi13,M,3
RWq16,25403,RVn11,F,3
RYh16,25215,RTv12,F,3
RYm16,FE36,RHp10,M,3
RYo16,FF72,RTm12,F,3
RYr16,R110M,RWm11,M,3
RYw16,25376,RWn13,F,3
RZj16,ROp10,RWf11,M,3
100_14,232_99,301_99,M,3
118_14,130_99,246_04,M,3
128_14,394_01,385_03,F,3
129_14,130_99,160_01,F,3
RAi16,FE36,RYz6,M,3
RAk16,25403,RDr10,M,3
RAl16,85M,RBy10,F,3
RAm16,REb7,RMd8,F,3
RAv16,25395,RIl13,M,3
RBi16,FH21,RKo9,F,3
RBl16,FE58,RIh11,M,3
RBr16,25395,RPb9,F,3
RBs16,FH21,RNo11,M,3
RCt16,25382,RSs10,F,3
RCu16,25382,RAa12,M,3
RCy16,25374,RKh11,F,3
RDn16,FE36,RMu13,M,3
RDp16,134M,KDA,F,3
REw16,25395,RBf11,F,3
RFj16,RMg6,RKe13,M,3
RFo16,RWk12,RTa11,F,3
RFs16,FE58,RDu5,F,3
RGn16,25395,RQo11,F,3
RGo16,174M,RLo13,F,3
RGv16,10M,RAd13,M,3
RHn16,RMg6,RHh11,M,3
RHy16,FF72,RWw12,M,3
RIm16,25376,RLi13,F,3
RIn16,85M,RLq13,M,3
RJs16,134M,RUn9,F,3
RJu16,174M,RMz12,F,3
RJw16,151MX,RGp12,F,3
RKl16,REb7,RZj12,M,3
RKm16,FE58,RHm8,M,3
RKn16,25232,RDf14,M,3
RKv16,RNh12,RJy13,M,3
RKy16,25395,RVt6,F,3
RLl16,25382,RKs10,M,3
RLq16,25403,RHh12,F,3
RLs16,25376,RZt13,F,3
RLv16,25403,RZh14,M,3
RNn16,FF72,RZu12,F,3
RNq16,25403,ROs6,M,3
ROp16,FF72,RCq12,M,3
ROq16,R110M,REf11,M,3
ROt16,FE58,RVh10,F,3
RPh16,85M,RLy11,F,3
RPk16,93L,RAo12,F,3
RPl16,25376,RQl13,F,3
RPn16,REb7,RBe12,M,3
RPw16,25391,RWl8,M,3
RQm16,174M,RJv8,M,3
RQn16,206M,RZj6,M,3
RQq16,REb7,REy14,F,3
RRm16,25376,RYz11,F,3
RRp16,25395,RRg12,F,3
RRq16,25395,RVh14,F,3
RRw16,R110M,ROn11,F,3
RSu16,FF72,RAy12,F,3
RTl16,25391,RGe10,M,3
RTo16,REb7,RVj12,F,3
RUl16,FF72,RYt12,F,3
RUp16,174M,RVs11,F,3
RUu16,25M,RPk11,F,3
